Obs,Financial Condition,TotCap/Assets,TotExp/Assets,TotLns&Lses/Assets,,,Logit,Odds,Prob
1,1,9.7,0.12,0.65,,,1.4965,4.466030577,0.817051883
2,1,1,0.11,0.62,,,0.3474,1.415382765,0.585986944
3,1,6.9,0.09,1.02,,,1.8994,6.681884109,0.869823602
4,1,5.8,0.1,0.67,,,-0.1321,0.876253365,0.467022941
5,1,4.3,0.11,0.69,,,0.9333,2.542886873,0.717744304
6,1,9.1,0.13,0.74,,,3.1478,23.28478167,0.958821948
7,1,11.9,0.1,0.79,,,0.8723,2.392407067,0.705224055
8,1,8.1,0.13,0.63,,,2.2271,9.272935536,0.902656841
9,1,9.3,0.16,0.72,,,5.6744,291.313498,0.996579015
10,1,1.1,0.16,0.57,,,4.4189,83.0049297,0.988095937
11,0,11.1,0.08,0.43,,,-3.9369,0.019508598,0.019135295
12,0,20.5,0.12,0.8,,,2.752,15.67394845,0.940026203
13,0,9.8,0.07,0.69,,,-2.6587,0.070039214,0.06545481
14,0,7.9,0.08,0.53,,,-3.0999,0.045053708,0.04311138
15,0,9.6,0.09,0.73,,,-0.5279,0.589842339,0.371006813
16,0,12.5,0.09,0.3,,,-4.127,0.0161312,0.015875115
17,0,18.3,0.08,0.49,,,-3.4347,0.032235079,0.031228428
18,0,7.2,0.11,0.55,,,-0.2385,0.787808688,0.440656035
19,0,14,0.08,0.44,,,-3.8532,0.02121175,0.020771158
20,0,8.3,0.08,0.51,,,-3.2673,0.038109183,0.036710188
21,,,0.11,0.6,,,0.18,1.197217363,0.544878892
,-14.72,,89.8,8.37,,,,,
,,,,,,,,,
,,,,,,,,,
,,,0.11,0.6,,,,,
